       0          72.64160016          23.16879686         -69.14123446         -45.97243760
     100         129.53600813          41.31507913         -71.54139492         -30.22631579
     200         124.18258301          39.60762199         -71.31750416         -31.70988217
     300         124.89134245          39.83367845         -71.37761384         -31.54393538
     400         133.08524606          42.44709677         -71.74843504         -29.30133827
     500         128.81690349          41.08572310         -71.45137788         -30.36565479
     600         119.42321886          38.08963862         -71.22876200         -33.13912339
     700         124.40518947          39.67862158         -71.22114716         -31.54252558
     800         119.02266570          37.96188351         -71.19722550         -33.23534199
     900         126.79572786          40.44107585         -71.38802787         -30.94695202
    1000         126.34673438          40.29787087         -71.40676125         -31.10889038
    1100         126.71677673          40.41589465         -71.51185622         -31.09596157
    1200         117.92364725          37.61135524         -71.14168705         -33.53033182
    1300         129.37043963          41.26227161         -71.46826091         -30.20598930
    1400         128.48985723          40.98141278         -71.41608145         -30.43466867
    1500         129.33334112          41.25043916         -71.48968041         -30.23924125
    1600         138.53252287          44.18448760         -71.87048616         -27.68599856
    1700         122.00788501          38.91400929         -71.16426621         -32.25025691
    1800         130.78594771          41.71374320         -71.57282742         -29.85908421
    1900         134.18177069          42.79682965         -71.71509539         -28.91826573
    2000         135.77799205          43.30593915         -71.70470434         -28.39876519
    2100         145.11255683          46.28316755         -72.13881066         -25.85564311
    2200         134.84074553          43.00700749         -71.65646678         -28.64945929
    2300         130.99080621          41.77908214         -71.55629843         -29.77721629
    2400         136.99443262          43.69391882         -71.76227940         -28.06836057
    2500         131.47452844          41.93336374         -71.68908204         -29.75571830
    2600         134.34908281          42.85019330         -71.78917135         -28.93897805
    2700         144.45165950          46.07237655         -72.20127144         -26.12889489
    2800         119.71719763          38.18340216         -71.14864319         -32.96524102
    2900         128.96169967          41.13190536         -71.60815970         -30.47625434
    3000         126.63750116          40.39060997         -71.34613819         -30.95552822
    3100         141.79495742          45.22503025         -72.07991615         -26.85488590
    3200         131.73944266          42.01785725         -71.52419208         -29.50633483
    3300         130.16223841          41.51481320         -71.42333390         -29.90852070
    3400         126.77630559          40.43488118         -71.33189382         -30.89701264
    3500         128.37145205          40.94364784         -71.43222592         -30.48857808
    3600         123.10921473          39.26527474         -71.26448436         -31.99920962
    3700         120.38064514          38.39500655         -71.23372751         -32.83872097
    3800         125.26620919          39.95324095         -71.39238395         -31.43914300
    3900         128.05641123          40.84316662         -71.46020095         -30.61703433
    4000         128.75430630          41.06575793         -71.59605987         -30.53030194
    4100         130.92496692          41.75808292         -71.40078535         -29.64270243
    4200         124.24589097          39.62781385         -71.32822084         -31.70040699
    4300         138.26487168          44.09912114         -71.75030822         -27.65118708
    4400         140.13810347          44.69658219         -71.99807372         -27.30149153
    4500         130.71623318          41.69150799         -71.59212198         -29.90061399
    4600         126.21894247          40.25711207         -71.47066705         -31.21355499
    4700         129.75437421          41.38472627         -71.59992814         -30.21520188
    4800         116.76855080          37.24294106         -71.03885455         -33.79591348
    4900         129.55968909          41.32263210         -71.54320826         -30.22057616
    5000         129.39591537          41.27039701         -71.47487009         -30.20447308
    5100         125.31653061          39.96929080         -71.41183459         -31.44254379
    5200         132.21121414          42.16832719         -71.73177306         -29.56344587
    5300         113.63427136          36.24327306         -70.86722195         -34.62394889
    5400         126.79800480          40.44180207         -71.46089754         -31.01909547
    5500         137.29735395          43.79053458         -71.87722436         -28.08668978
    5600         115.74278288          36.91577580         -71.03154100         -34.11576521
    5700         108.77592015          34.69371809         -70.86348607         -36.16976798
    5800         128.82801799          41.08926803         -71.47864095         -30.38937292
    5900         137.38345034          43.81799473         -71.91865863         -28.10066390
    6000         127.91842774          40.79915725         -71.45052024         -30.65136300
    6100         131.99072013          42.09800136         -71.69625847         -29.59825710
    6200         128.65964068          41.03556465         -71.56085430         -30.52528965
    6300         131.40027664          41.90968137         -71.61523956         -29.70555819
    6400         128.33019093          40.93048774         -71.42736977         -30.49688203
    6500         124.67229346          39.76381351         -71.40583772         -31.64202421
    6600         119.11314057          37.99074017         -71.14340890         -33.15266873
    6700         134.90440285          43.02731078         -71.72544634         -28.69813556
    6800         137.09922486          43.72734196         -71.75369918         -28.02635722
    6900         135.32872867          43.16264809         -71.75276702         -28.59011894
    7000         135.20950837          43.12462317         -71.72416242         -28.59953925
    7100         135.96519450          43.36564675         -71.64051051         -28.27486376
    7200         130.42102199          41.59735136         -71.58362866         -29.98627730
    7300         122.86301531          39.18675026         -71.27854040         -32.09179015
    7400         134.80783963          42.99651226         -71.80921543         -28.81270317
    7500         126.19391395          40.24912930         -71.38993445         -31.14080515
    7600         139.70024408          44.55692839         -71.90083063         -27.34390223
    7700         133.68631832          42.63880677         -71.71435301         -29.07554625
    7800         121.64374513          38.79786809         -71.14950712         -32.35163903
    7900         138.31014431          44.11356069         -71.81075494         -27.69719425
    8000         126.55904621          40.36558702         -71.38135434         -31.01576732
    8100         130.02897763          41.47231011         -71.47863563         -30.00632552
    8200         136.85728857          43.65017719         -71.85395903         -28.20378184
    8300         128.13515398          40.86828136         -71.41198310         -30.54370175
    8400         140.48948954          44.80865561         -71.98278424         -27.17412863
    8500         126.73180177          40.42068683         -71.44618997         -31.02550314
    8600         132.28359919          42.19141416         -71.43205562         -29.24064146
    8700         122.22849118          38.98437089         -71.18804591         -32.20367502
    8800         123.32116451          39.33287542         -71.12205481         -31.78917939
    8900         130.96618166          41.77122822         -71.59609867         -29.82487045
    9000         131.10186960          41.81450544         -71.46534115         -29.65083571
    9100         123.31408947          39.33061886         -71.36598391         -32.03536505
    9200         128.91318711          41.11643244         -71.56063567         -30.44420323
